Name,SMILES
1,[O-]C(=O)c1c(O)c(O)ccc1
2,c1ccc(O)c(O)c1C(=O)NCC([O-])=O
3,OC[C@@H](C([O-])=O)NC(=O)c1c(O)c(O)ccc1
4,O[C@H](C)[C@@H](C([O-])=O)NC(=O)c1cccc(O)c1O
5,[O-]C(=O)c1c(O)cccc1
6,OCC\C(C)=C\C(=O)N(O)CCC[C@H](N(C)C(=O)C)C(=O)OCCC(\C)=C\C(=O)N(O)CCC[C@@H]1NC(=O)[C@@H](NC1=O)CCCN(O)C(=O)/C=C(C)/CCO
7,OCC\C(C)=C\C(=O)N(O)CCC[C@H]([NH3+])C(=O)OCCC(\C)=C\C(=O)N(O)CCC[C@@H]1NC(=O)[C@@H](NC1=O)CCCN(O)C(=O)/C=C(C)/CCO
8,OCC\C(C)=C\C(=O)N(O)CCC[C@H]([NH2+]C)C(=O)OCCC(\C)=C\C(=O)N(O)CCC[C@@H]1NC(=O)[C@@H](NC1=O)CCCN(O)C(=O)/C=C(C)/CCO
9,c1cc(O)c(O)cc1C([O-])=O
10,Oc(c1)cc(O)cc1C([O-])=O
11,[O-]C(=O)[C@@]1(O)N(C(=O)CC1)[C@H](C([O-])=O)CCNC(=O)C[C@](O)(C([O-])=O)CC(=O)OCCN([C@@]2(O)C([O-])=O)C(=O)CC2
12,c1[nH+]c[nH]c1CCN2O[C@@H](C)[C@@H](C2=O)NC(=O)c3c(O)c(O)ccc3
13,c1nc[nH]c1CCN2O[C@@H](C)[C@@H](C2=O)NC(=O)c3c(O)c(O)ccc3
14,c1[nH]cnc1CCN2O[C@@H](C)[C@@H](C2=O)NC(=O)c3c(O)c(O)ccc3
15,c1[nH+]c[nH]c1CCN2O[C@@H](C)[C@@H](C2=O)NC(=O)c3c([O-])c(O)ccc3
16,c1nc[nH]c1CCN2O[C@@H](C)[C@@H](C2=O)NC(=O)c3c([O-])c(O)ccc3
17,CCCCC/C=C/C(=O)N(O)CCCNC(=O)CC(O)(C([O-])=O)CC(=O)NCCCN(O)C(=O)\C=C\CCCCC
